15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1635265800000,62354.91,62375.91,62138.65,62155.43,3.312787
1635266700000,62155.43,62157.58,61938.66,62002.84,4.186604
1635267600000,62002.84,62221.06,61988.88,62119.04,3.308943
1635268500000,62119.04,62209.83,62119.04,62150.0,2.746008
1635269400000,62150.0,62379.65,62124.92,62360.99,3.562406
1635270300000,62360.99,62464.28,62341.39,62402.23,2.723498
1635271200000,62402.23,62552.07,62402.23,62449.98,3.511814
1635272100000,62449.98,62498.35,62315.75,62466.12,4.728674
1635273000000,62466.12,62470.21,62246.88,62258.57,5.040615
1635273900000,62258.57,62366.02,62243.5,62279.4,2.226791
1635274800000,62279.4,62334.12,62201.51,62214.3,1.683938
1635275700000,62214.3,62222.46,62072.58,62093.38,0.925846
1635276600000,62093.38,62178.88,62045.67,62108.32,3.086469
1635277500000,62108.32,62116.46,61912.57,61969.1,4.151699
1635278400000,61969.1,62063.0,61873.0,62063.0,10.83853
1635279300000,62063.0,62254.29,62025.0,62252.21,4.454318
1635280200000,62252.21,62260.0,62005.0,62005.0,4.287691
1635281100000,62005.0,62218.93,61889.54,62094.17,13.326028
1635282000000,62094.17,62094.9,61928.1,61928.1,1.155133
1635282900000,61928.1,61982.39,61774.98,61907.88,6.630789
1635283800000,61907.88,62008.6,61200.0,61392.49,20.349455
1635284700000,61392.49,61648.15,60649.34,60890.73,20.576218
1635285600000,60890.73,60919.97,60079.34,60489.54,39.646306
1635286500000,60489.54,60738.81,60408.67,60719.8,15.879336
1635287400000,60719.8,60719.8,59945.03,60412.18,28.011481
1635288300000,60412.18,60418.61,59900.0,60272.98,19.714777
1635289200000,60272.98,60585.44,60208.02,60431.54,10.701436
1635290100000,60431.54,60571.66,60330.79,60345.01,4.690893
1635291000000,60345.01,60469.18,60292.54,60395.26,6.83573
1635291900000,60395.26,60447.2,60273.13,60292.0,5.24662
1635292800000,60292.0,60586.68,60143.92,60482.76,7.146227
1635293700000,60482.76,60738.07,60470.83,60716.93,4.699295
1635294600000,60716.93,60723.96,60519.28,60519.28,4.418634
1635295500000,60519.28,60700.0,60519.28,60671.15,2.680549
1635296400000,60671.15,60816.69,60571.72,60741.59,3.849784
1635297300000,60741.59,60821.12,60717.54,60812.88,1.735004
1635298200000,60812.88,60812.88,60640.15,60660.32,3.212823
1635299100000,60660.32,60707.27,60499.99,60514.1,2.327468
1635300000000,60514.1,60614.51,60468.53,60579.28,3.24132
1635300900000,60579.28,60619.99,60452.15,60557.61,2.357835
1635301800000,60557.61,60580.77,60450.0,60479.35,3.342864
1635302700000,60479.35,60596.56,60381.53,60420.0,13.363027
1635303600000,60420.0,60630.95,60377.79,60598.37,4.623263
1635304500000,60598.37,60817.46,60586.42,60817.46,2.020248
1635305400000,60817.46,60829.24,60653.7,60668.2,1.268155
1635306300000,60668.2,60776.29,60657.15,60705.43,3.136825
