1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1643673600000,38454.49,39274.99,37978.46,38697.45,1304.355036
1643760000000,38697.45,38858.16,36606.09,36898.91,1242.965677
1643846400000,36898.91,37421.07,36244.75,37306.64,993.738339
1643932800000,37306.64,41703.3,37032.29,41549.33,1715.620839
1644019200000,41549.33,41900.0,40933.97,41369.52,1092.79674
1644105600000,41369.52,42669.98,41124.86,42377.65,696.826581
1644192000000,42377.65,44480.0,41653.86,43823.01,1820.65264
1644278400000,43823.01,45470.0,42666.0,44027.52,2091.155938
1644364800000,44027.52,44799.1,43117.81,44374.57,1849.159864
1644451200000,44374.57,45799.0,43200.0,43486.15,2615.52904
1644537600000,43486.15,43913.02,41962.86,42373.25,2183.277402
1644624000000,42373.25,42990.12,41737.59,42208.29,702.23933
1644710400000,42208.29,42750.0,41871.01,42051.54,739.292748
1644796800000,42051.54,42842.48,41560.66,42532.78,1529.84663
1644883200000,42532.78,44747.61,42415.05,44537.97,1535.568549
1644969600000,44537.97,44545.13,43279.2,43852.75,1082.940949
1645142400000,40538.28,40950.03,39437.16,39969.71,1500.174704
1645228800000,39969.71,40447.35,39642.04,40091.28,571.37656
1645315200000,40091.28,40112.35,38000.0,38379.6,922.334473
1645401600000,38379.6,39478.12,36788.93,37001.54,2358.966791
1645488000000,37001.54,38419.12,36334.18,38242.38,1837.647049
1645574400000,38242.38,39250.0,37033.48,37222.66,1422.586624
1645660800000,37222.66,39790.0,34311.12,38320.27,3447.056833
1645747200000,38320.27,39682.36,38027.31,39199.35,1619.855918
1645833600000,39199.35,40315.83,38581.0,39104.76,768.381481
1645920000000,39104.76,39858.29,37000.0,37662.03,1313.542721
1646006400000,37662.03,44225.71,37436.93,43178.53,2420.552195
1646092800000,43178.53,44978.55,42834.83,44409.75,1932.448519
1646179200000,44409.75,45338.18,43324.95,43900.44,1591.960403
1646265600000,43900.44,44083.33,41843.94,42467.63,1968.83472
1646352000000,42467.63,42517.19,38522.16,39147.92,4275.329252
1646438400000,39147.92,39601.47,38583.33,39394.11,1587.088609
1646524800000,39394.11,39676.68,38100.0,38387.97,1866.601568
1646611200000,38387.97,39542.38,37155.76,38005.14,3747.458097
1646697600000,38005.14,39368.73,37875.76,38725.35,4207.607882
1646784000000,38725.35,42582.09,38659.83,41941.57,5195.569327
1646870400000,41941.57,42038.48,38529.8,39415.0,6351.181082
1646956800000,39415.0,40232.46,38232.65,38727.01,6369.021624
1647043200000,38727.01,39542.69,38664.14,38795.01,1564.304705
1647129600000,38795.01,39310.76,37580.92,37773.52,1921.267244
1647216000000,37773.52,39930.82,37565.23,39667.58,3231.016435
1647302400000,39667.58,39895.0,38125.01,39275.96,3961.579503
1647388800000,39275.96,41709.99,38825.0,41107.77,7634.908714
1647475200000,41107.77,41460.51,40504.02,40912.43,3865.493959
1647561600000,40912.43,42320.0,40139.64,41751.44,4819.982049
1647648000000,41751.44,42395.24,41500.01,42194.5,4224.352244
1647734400000,42194.5,42283.45,40913.58,41256.06,4742.313777
1647820800000,41256.06,41544.49,40500.0,41000.0,6019.878851
1647907200000,41000.0,43381.59,40870.2,42357.83,6023.188605
