4h_timestamp,4h_open,4h_high,4h_low,4h_close,4h_volume
1654070400000,31478.46,31705.0,31441.38,31600.39,356.520517
1654084800000,31600.39,31900.0,30710.32,30744.64,1348.023428
1654099200000,30744.64,30744.64,29900.0,30124.72,1928.278716
1654113600000,30124.72,30154.46,29327.9,29809.48,1203.967348
1654128000000,29809.48,29907.08,29592.63,29734.78,917.08585
1654142400000,29734.78,30122.12,29650.09,29969.54,641.105691
1654156800000,29969.54,30208.63,29861.91,30176.22,653.760983
1654171200000,30176.22,30389.08,29598.3,30211.8,1679.081834
1654185600000,30211.8,30409.99,29972.19,30289.41,722.311563
1654200000000,30289.41,30700.0,30234.09,30458.67,476.595447
1654214400000,30458.67,30694.28,30353.51,30533.09,266.572532
1654228800000,30533.09,30563.66,30291.5,30451.71,287.369427
1654243200000,30451.71,30524.81,29681.11,29758.56,1228.184645
1654257600000,29758.56,29886.19,29270.31,29503.83,2195.989244
1654272000000,29503.83,29669.22,29401.92,29573.74,615.773958
1654286400000,29573.74,29889.2,29559.85,29704.54,306.714628
1654300800000,29704.54,29765.17,29492.44,29560.87,307.441855
1654315200000,29560.87,29739.14,29546.99,29702.45,186.938879
1654329600000,29702.45,29804.31,29594.44,29681.01,195.817767
1654344000000,29681.01,29982.9,29487.74,29858.31,524.845863
1654358400000,29858.31,29863.15,29613.25,29658.77,286.369424
1654372800000,29658.77,29976.29,29634.53,29870.86,228.708419
1654387200000,29870.86,29905.12,29681.86,29764.82,237.994096
1654401600000,29764.82,29826.05,29648.25,29648.25,147.185372
1654416000000,29648.25,29746.14,29536.68,29722.34,154.924183
1654430400000,29722.34,29988.2,29628.63,29973.81,227.068356
1654444800000,29973.81,30236.63,29764.64,30049.34,640.882466
1654459200000,30049.34,30124.63,29815.99,29920.8,488.603307
1654473600000,29920.8,31276.76,29888.88,31259.1,1405.838955
1654488000000,31259.1,31440.68,31147.49,31290.96,699.025197
1654502400000,31290.96,31597.0,31281.22,31393.94,737.884367
1654516800000,31393.94,31758.79,31150.22,31537.75,1488.751026
1654531200000,31537.75,31551.39,31022.99,31473.97,931.038239
1654545600000,31473.97,31599.58,31237.0,31371.82,374.730838
1654560000000,31371.82,31376.58,29215.38,29563.65,1416.13079
1654574400000,29563.65,29633.77,29403.65,29587.25,331.181268
1654588800000,29587.25,29739.26,29345.24,29522.78,353.707175
1654603200000,29522.78,30042.88,29391.3,29888.3,851.010787
1654617600000,29888.3,31427.28,29740.0,31063.15,750.389452
1654632000000,31063.15,31581.05,30310.17,31123.41,1445.379273
1654646400000,31123.41,31320.36,29845.96,30016.42,1072.863213
1654660800000,30016.42,30683.04,29873.15,30559.59,734.872425
1654675200000,30559.59,30615.57,30335.54,30414.58,287.143794
1654689600000,30414.58,30888.88,30054.51,30464.4,1251.64948
1654704000000,30464.4,30541.47,29919.76,30127.49,663.554499
1654718400000,30127.49,30500.0,30100.01,30202.58,233.804179
1654732800000,30202.58,30326.09,30068.12,30290.93,218.32592
1654747200000,30290.93,30488.32,30233.71,30488.32,194.068729
1654761600000,30488.32,30699.99,30272.03,30299.84,510.976682
1654776000000,30299.84,30389.04,29946.99,30304.65,1028.529954
1654790400000,30304.65,30450.0,29984.0,30015.27,439.486417
1654804800000,30015.27,30253.74,29969.2,30102.09,366.356804
1654819200000,30102.09,30364.1,29550.0,30113.45,947.576044
1654833600000,30113.45,30234.91,30036.46,30045.06,372.675971
1654848000000,30045.06,30110.36,29852.24,30014.34,367.030003
1654862400000,30014.34,30180.58,29230.0,29454.21,1449.403117
1654876800000,29454.21,29479.96,28855.01,28978.21,1171.19672
1654891200000,28978.21,29407.0,28966.26,29088.69,419.476094
1654905600000,29088.69,29310.18,29049.02,29268.2,211.293035
1654920000000,29268.2,29437.91,29250.48,29325.74,136.921057
1654934400000,29325.74,29345.35,28571.36,28731.93,632.77104
1654948800000,28731.93,28867.8,28244.01,28410.8,694.230013
1654963200000,28410.8,28800.31,28101.02,28599.56,542.554681
1654977600000,28599.56,28683.87,28248.91,28422.39,292.303067
1654992000000,28422.39,28545.35,27281.49,27550.0,920.435387
1655006400000,27550.0,27670.65,27185.72,27640.36,578.771188
1655020800000,27640.36,27717.68,27349.46,27457.23,295.452573
1655035200000,27457.23,28342.95,26890.08,28091.96,872.49211
1655049600000,28091.96,28234.88,27420.67,27429.31,483.220721
1655064000000,27429.31,27546.68,26559.85,26578.02,1194.572858
1655078400000,26578.02,26886.83,24900.0,25510.43,2742.946139
1655092800000,25510.43,26262.13,24570.23,24804.24,2345.045129
1655107200000,24804.24,24941.69,23486.0,23725.61,2792.685006
1655121600000,23725.61,24391.03,22600.0,23264.93,3361.356126
1655136000000,23264.93,24200.0,23098.71,23199.65,2459.45423
1655150400000,23199.65,23780.2,21937.0,22485.59,1688.895513
1655164800000,22485.59,22800.0,20866.01,22127.76,2259.589752
1655179200000,22127.76,23369.09,21746.67,22884.98,2639.097275
1655193600000,22884.98,22989.11,21723.42,21991.83,1549.907191
1655208000000,21991.83,22800.0,21810.62,22693.61,2396.178084
1655222400000,22693.61,22796.85,22124.88,22190.98,1262.835571
1655236800000,22190.98,22345.58,21359.4,22150.09,1289.696346
1655251200000,22150.09,22311.53,21400.0,21456.47,1037.665346
1655265600000,21456.47,21486.93,20628.0,20717.16,2372.795912
1655280000000,20717.16,21287.15,20104.5,21174.02,3115.625245
1655294400000,21174.02,21789.47,21047.53,21421.65,2174.459776
1655308800000,21421.65,22452.12,20235.0,21618.1,5461.0466
1655323200000,21618.1,22804.62,21453.71,22582.72,1482.938983
1655337600000,22582.72,23000.0,22167.34,22208.47,854.021176
1655352000000,22208.47,22357.48,21643.92,21754.41,691.518992
1655366400000,21754.41,21899.0,20865.2,21057.57,1458.569537
1655380800000,21057.57,21511.0,20749.0,21079.98,1440.943213
1655395200000,21079.98,21457.19,20815.07,20881.26,1047.410646
1655409600000,20881.26,21045.14,20232.0,20401.2,852.957116
1655424000000,20401.2,21050.17,20241.09,20382.39,1094.265748
1655438400000,20382.39,21282.79,20330.0,21105.07,908.787584
1655452800000,21105.07,21370.59,20845.48,20972.34,803.215944
1655467200000,20972.34,21049.77,20388.36,20671.06,1007.332928
1655481600000,20671.06,20799.97,20442.04,20519.48,627.937408
1655496000000,20519.48,20720.02,20369.58,20464.85,363.018245
1655510400000,20464.85,20777.27,20320.0,20452.6,446.612472
1655524800000,20452.6,20533.07,19065.54,19265.32,1533.970365
1655539200000,19265.32,19536.35,18750.0,19252.17,1625.35035
1655553600000,19252.17,19289.39,18945.4,18950.28,620.737193
1655568000000,18950.28,19094.89,18038.08,18063.95,1694.050282
1655582400000,18063.95,19501.6,17625.01,18980.4,2951.932242
1655596800000,18980.4,19202.8,18216.55,18309.41,1529.28462
1655611200000,18309.41,18622.47,17954.64,18308.67,1307.696556
1655625600000,18308.67,20064.78,18274.93,19696.42,1954.378277
1655640000000,19696.42,19933.26,19137.83,19833.06,1578.76753
1655654400000,19833.06,20340.0,19375.54,20126.26,1543.437327
1655668800000,20126.26,20810.93,20055.35,20574.08,1411.024355
1655683200000,20574.08,20666.02,19641.65,19979.83,1306.24863
1655697600000,19979.83,20259.58,19778.95,20089.6,781.994963
1655712000000,20089.6,21029.5,20027.26,20801.42,1225.331887
1655726400000,20801.42,21074.19,20362.7,20824.65,1131.351488
1655740800000,20824.65,20830.91,19836.34,20085.47,1097.71822
1655755200000,20085.47,20788.25,20003.86,20576.55,756.095429
1655769600000,20576.55,20781.81,20345.35,20613.3,745.784841
1655784000000,20613.3,21331.89,20477.47,21122.37,951.89448
1655798400000,21122.37,21475.0,20919.89,20968.34,839.428634
1655812800000,20968.34,21716.66,20847.84,21395.35,1141.951092
1655827200000,21395.35,21551.88,20875.01,20889.95,671.72276
1655841600000,20889.95,21073.21,20553.0,20725.4,743.006099
1655856000000,20725.4,20737.59,20262.0,20316.44,721.937619
1655870400000,20316.44,20594.9,19962.47,20093.02,826.647598
1655884800000,20093.02,20686.23,20043.81,20507.42,639.568224
1655899200000,20507.42,20894.99,20026.74,20085.82,1300.797962
1655913600000,20085.82,20376.05,19847.75,20112.63,1247.072488
1655928000000,20112.63,20237.45,19767.27,19991.52,690.219795
1655942400000,19991.52,20611.08,19886.33,20214.55,605.586774
1655956800000,20214.55,20659.63,20166.78,20457.03,545.09273
1655971200000,20457.03,20809.99,20450.01,20641.95,916.522917
1655985600000,20641.95,20823.05,20290.9,20351.96,1402.244585
1656000000000,20351.96,20943.22,20179.05,20910.39,1032.752236
1656014400000,20910.39,21238.41,20678.5,21110.97,1513.70843
1656028800000,21110.97,21373.3,20971.28,21074.26,874.993758
1656043200000,21074.26,21167.3,20739.57,20909.32,691.66269
